date;Value
28.04.2022;15.8434
27.04.2022;15.6991
26.04.2022;15.7252
23.04.2022;15.7304
22.04.2022;16.0333
21.04.2022;16.4278
20.04.2022;16.785
19.04.2022;16.8565
16.04.2022;16.9786
15.04.2022;17.2399
14.04.2022;16.9014
13.04.2022;16.8299
12.04.2022;16.6708
09.04.2022;15.7351
